Timestamp,Angle (degrees),Distance (cm)
2024-06-13 22:32:15,120,5
2024-06-13 22:32:15,120,5
2024-06-13 22:32:15,121,4
2024-06-13 22:32:15,121,7
2024-06-13 22:32:16,121,6
2024-06-13 22:32:16,122,14
2024-06-13 22:32:16,123,20
2024-06-13 22:32:16,123,7
2024-06-13 22:32:16,123,11
2024-06-13 22:32:16,123,12
2024-06-13 22:32:16,123,7
2024-06-13 22:32:16,124,20
2024-06-13 22:32:16,125,14
2024-06-13 22:32:16,125,6
2024-06-13 22:32:16,126,5
2024-06-13 22:32:16,127,19
2024-06-13 22:32:16,125,6
2024-06-13 22:32:16,126,4
2024-06-13 22:32:16,127,5
2024-06-13 22:32:16,128,4
2024-06-13 22:32:16,129,4
2024-06-13 22:32:16,130,4
2024-06-13 22:32:16,131,5
2024-06-13 22:32:16,132,5
2024-06-13 22:32:16,133,4
2024-06-13 22:32:16,134,19
2024-06-13 22:32:16,135,23
2024-06-13 22:32:17,136,3
2024-06-13 22:32:17,136,3
2024-06-13 22:32:17,136,3
2024-06-13 22:32:17,137,3
2024-06-13 22:32:17,137,3
2024-06-13 22:32:17,137,3
2024-06-13 22:32:17,138,3
2024-06-13 22:32:17,138,3
2024-06-13 22:32:17,138,3
2024-06-13 22:32:17,138,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:17,139,3
2024-06-13 22:32:18,139,3
2024-06-13 22:32:18,139,3
2024-06-13 22:32:18,139,3
2024-06-13 22:32:18,139,3
2024-06-13 22:32:18,139,3
2024-06-13 22:32:18,139,3
2024-06-13 22:32:18,138,3
2024-06-13 22:32:18,138,3
2024-06-13 22:32:18,138,3
2024-06-13 22:32:18,137,3
2024-06-13 22:32:18,137,3
2024-06-13 22:32:18,137,3
2024-06-13 22:32:18,136,3
2024-06-13 22:32:18,136,3
2024-06-13 22:32:18,136,3
2024-06-13 22:32:18,135,3
2024-06-13 22:32:18,135,3
2024-06-13 22:32:18,134,3
2024-06-13 22:32:18,134,3
2024-06-13 22:32:18,134,3
2024-06-13 22:32:18,133,3
2024-06-13 22:32:18,133,3
2024-06-13 22:32:18,132,3
2024-06-13 22:32:19,131,3
2024-06-13 22:32:19,131,3
2024-06-13 22:32:19,130,3
2024-06-13 22:32:19,130,3
2024-06-13 22:32:19,129,3
2024-06-13 22:32:19,129,4
2024-06-13 22:32:19,128,3
2024-06-13 22:32:19,127,3
2024-06-13 22:32:19,127,3
2024-06-13 22:32:19,126,3
2024-06-13 22:32:19,125,3
2024-06-13 22:32:19,125,4
2024-06-13 22:32:19,124,24
2024-06-13 22:32:19,123,22
2024-06-13 22:32:19,123,8
2024-06-13 22:32:19,122,14
2024-06-13 22:32:19,121,23
2024-06-13 22:32:19,121,20
2024-06-13 22:32:19,120,5
2024-06-13 22:32:19,119,24
2024-06-13 22:32:19,119,3
2024-06-13 22:32:19,118,4
2024-06-13 22:32:19,117,3
2024-06-13 22:32:20,116,4
