Timestamp,Angle (degrees),Distance (cm)
2024-06-13 22:46:50,120,16
2024-06-13 22:46:50,120,16
2024-06-13 22:46:50,121,16
2024-06-13 22:46:50,122,16
2024-06-13 22:46:50,122,16
2024-06-13 22:46:50,123,16
2024-06-13 22:46:50,124,16
2024-06-13 22:46:50,124,16
2024-06-13 22:46:50,125,16
2024-06-13 22:46:50,126,16
2024-06-13 22:46:50,126,16
2024-06-13 22:46:50,127,16
2024-06-13 22:46:50,128,16
2024-06-13 22:46:50,128,16
2024-06-13 22:46:50,129,16
2024-06-13 22:46:50,130,16
2024-06-13 22:46:50,130,16
2024-06-13 22:46:51,131,15
2024-06-13 22:46:51,131,16
2024-06-13 22:46:51,132,18
2024-06-13 22:46:51,132,17
2024-06-13 22:46:51,133,14
2024-06-13 22:46:51,133,14
2024-06-13 22:46:51,134,15
2024-06-13 22:46:51,134,14
2024-06-13 22:46:51,135,14
2024-06-13 22:46:51,135,14
2024-06-13 22:46:51,136,14
2024-06-13 22:46:51,136,15
2024-06-13 22:46:51,136,15
2024-06-13 22:46:51,125,13
2024-06-13 22:46:51,126,15
2024-06-13 22:46:51,127,14
2024-06-13 22:46:51,125,12
2024-06-13 22:46:51,125,10
2024-06-13 22:46:51,126,16
2024-06-13 22:46:51,125,7
2024-06-13 22:46:51,125,8
2024-06-13 22:46:51,126,14
2024-06-13 22:46:51,125,7
2024-06-13 22:46:52,125,6
2024-06-13 22:46:52,126,4
2024-06-13 22:46:52,127,5
2024-06-13 22:46:52,128,23
2024-06-13 22:46:52,129,23
2024-06-13 22:46:52,125,6
2024-06-13 22:46:52,126,20
2024-06-13 22:46:52,125,7
2024-06-13 22:46:52,126,3
2024-06-13 22:46:52,127,23
2024-06-13 22:46:52,125,9
2024-06-13 22:46:52,126,22
2024-06-13 22:46:52,127,22
2024-06-13 22:46:52,128,22
2024-06-13 22:46:52,129,22
2024-06-13 22:46:52,130,20
2024-06-13 22:46:52,125,6
2024-06-13 22:46:52,126,20
2024-06-13 22:46:52,127,23
2024-06-13 22:46:52,125,7
2024-06-13 22:46:52,125,8
2024-06-13 22:46:52,125,8
2024-06-13 22:46:52,125,8
2024-06-13 22:46:53,125,8
2024-06-13 22:46:53,126,14
2024-06-13 22:46:53,127,22
2024-06-13 22:46:53,128,22
2024-06-13 22:46:53,129,20
2024-06-13 22:46:53,125,6
2024-06-13 22:46:53,126,5
2024-06-13 22:46:53,125,7
2024-06-13 22:46:53,125,6
2024-06-13 22:46:53,125,6
2024-06-13 22:46:53,126,5
2024-06-13 22:46:53,127,23
2024-06-13 22:46:53,128,3
2024-06-13 22:46:53,129,4
2024-06-13 22:46:53,129,5
2024-06-13 22:46:53,128,23
2024-06-13 22:46:53,125,6
2024-06-13 22:46:53,126,24
2024-06-13 22:46:53,126,4
2024-06-13 22:46:53,125,4
2024-06-13 22:46:53,125,24
2024-06-13 22:46:53,124,5
2024-06-13 22:46:54,123,3
2024-06-13 22:46:54,123,4
2024-06-13 22:46:54,122,4
2024-06-13 22:46:54,121,5
2024-06-13 22:46:54,121,4
2024-06-13 22:46:54,121,7
2024-06-13 22:46:54,120,14
2024-06-13 22:46:54,119,14
2024-06-13 22:46:54,119,10
2024-06-13 22:46:54,119,9
2024-06-13 22:46:54,119,10
2024-06-13 22:46:54,119,11
2024-06-13 22:46:54,118,20
2024-06-13 22:46:54,117,14
2024-06-13 22:46:54,117,13
2024-06-13 22:46:54,116,14
2024-06-13 22:46:54,115,14
2024-06-13 22:46:54,114,15
2024-06-13 22:46:54,113,14
2024-06-13 22:46:54,112,15
2024-06-13 22:46:54,111,16
2024-06-13 22:46:54,110,16
2024-06-13 22:46:54,109,16
2024-06-13 22:46:55,108,16
2024-06-13 22:46:55,108,16
2024-06-13 22:46:55,107,16
2024-06-13 22:46:55,107,16
2024-06-13 22:46:55,106,16
2024-06-13 22:46:55,106,16
2024-06-13 22:46:55,105,16
2024-06-13 22:46:55,105,16
2024-06-13 22:46:55,104,16
2024-06-13 22:46:55,104,16
2024-06-13 22:46:55,103,16
2024-06-13 22:46:55,103,16
2024-06-13 22:46:55,102,16
2024-06-13 22:46:55,102,16
2024-06-13 22:46:55,102,16
2024-06-13 22:46:55,101,16
2024-06-13 22:46:55,101,16
2024-06-13 22:46:55,101,15
2024-06-13 22:46:55,101,16
2024-06-13 22:46:55,100,16
2024-06-13 22:46:55,100,16
2024-06-13 22:46:55,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,15
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,100,16
2024-06-13 22:46:56,101,16
2024-06-13 22:46:56,101,16
2024-06-13 22:46:56,101,16
2024-06-13 22:46:56,101,16
2024-06-13 22:46:56,102,16
2024-06-13 22:46:56,102,16
2024-06-13 22:46:56,102,16
2024-06-13 22:46:56,103,16
2024-06-13 22:46:57,103,16
2024-06-13 22:46:57,103,16
2024-06-13 22:46:57,104,15
2024-06-13 22:46:57,104,16
2024-06-13 22:46:57,105,16
2024-06-13 22:46:57,105,16
2024-06-13 22:46:57,106,16
2024-06-13 22:46:57,106,16
2024-06-13 22:46:57,107,16
2024-06-13 22:46:57,107,16
2024-06-13 22:46:57,108,16
2024-06-13 22:46:57,108,16
2024-06-13 22:46:57,109,16
2024-06-13 22:46:57,110,16
2024-06-13 22:46:57,110,16
2024-06-13 22:46:57,111,16
2024-06-13 22:46:57,112,16
2024-06-13 22:46:57,112,16
2024-06-13 22:46:57,113,16
2024-06-13 22:46:57,114,15
2024-06-13 22:46:57,114,16
2024-06-13 22:46:57,115,16
2024-06-13 22:46:58,116,16
2024-06-13 22:46:58,116,16
2024-06-13 22:46:58,117,16
2024-06-13 22:46:58,118,16
2024-06-13 22:46:58,118,16
2024-06-13 22:46:58,119,16
2024-06-13 22:46:58,120,15
2024-06-13 22:46:58,120,16
2024-06-13 22:46:58,121,16
2024-06-13 22:46:58,122,16
2024-06-13 22:46:58,123,16
2024-06-13 22:46:58,123,16
2024-06-13 22:46:58,124,16
2024-06-13 22:46:58,125,16
2024-06-13 22:46:58,125,15
2024-06-13 22:46:58,126,16
2024-06-13 22:46:58,127,16
2024-06-13 22:46:58,127,16
2024-06-13 22:46:58,128,16
2024-06-13 22:46:58,129,16
2024-06-13 22:46:58,129,16
2024-06-13 22:46:58,130,16
2024-06-13 22:46:59,130,16
2024-06-13 22:46:59,131,15
2024-06-13 22:46:59,132,16
2024-06-13 22:46:59,132,16
2024-06-13 22:46:59,133,16
2024-06-13 22:46:59,133,17
2024-06-13 22:46:59,134,16
2024-06-13 22:46:59,134,20
2024-06-13 22:46:59,135,14
2024-06-13 22:46:59,135,16
2024-06-13 22:46:59,136,14
2024-06-13 22:46:59,136,15
2024-06-13 22:46:59,136,14
